Index,StartTime,EndTime,FrameCnt,DiffTime,DateTime,iso,shutter,fnum,ev,ct,color_md,focal_len,latitude,longitude,rel_alt,abs_alt
16,"00:00:00,249","00:00:00,266",16,17,2023-02-07 15:11:10.728,130,1/640.0,2.8,0,5178,default,24.0,37.55984,126.93685,30.6,-7.338
17,"00:00:00,266","00:00:00,282",17,16,2023-02-07 15:11:10.747,130,1/640.0,2.8,0,5178,default,24.0,37.55984,126.93685,30.6,-7.338
18,"00:00:00,282","00:00:00,299",18,17,2023-02-07 15:11:10.761,130,1/640.0,2.8,0,5178,default,24.0,37.55984,126.93685,30.6,-7.338
19,"00:00:00,299","00:00:00,316",19,17,2023-02-07 15:11:10.780,130,1/640.0,2.8,0,5178,default,24.0,37.55984,126.93685,30.6,-7.338
20,"00:00:00,316","00:00:00,332",20,16,2023-02-07 15:11:10.794,130,1/640.0,2.8,0,5178,default,24.0,37.55984,126.93685,30.6,-7.338
21,"00:00:00,332","00:00:00,349",21,17,2023-02-07 15:11:10.813,130,1/640.0,2.8,0,5178,default,24.0,37.55984,126.93685,30.6,-7.338
22,"00:00:00,349","00:00:00,366",22,17,2023-02-07 15:11:10.828,130,1/640.0,2.8,0,5178,default,24.0,37.55984,126.93685,30.6,-7.338
23,"00:00:00,366","00:00:00,383",23,17,2023-02-07 15:11:10.847,130,1/640.0,2.8,0,5178,default,24.0,37.55984,126.93685,30.6,-7.338
24,"00:00:00,383","00:00:00,399",24,16,2023-02-07 15:11:10.862,130,1/640.0,2.8,0,5178,default,24.0,37.55984,126.93685,30.6,-7.338
25,"00:00:00,399","00:00:00,416",25,17,2023-02-07 15:11:10.880,130,1/640.0,2.8,0,5178,default,24.0,37.55984,126.93685,30.6,-7.338
26,"00:00:00,416","00:00:00,433",26,17,2023-02-07 15:11:10.894,130,1/640.0,2.8,0,5178,default,24.0,37.55984,126.93685,30.6,-7.338
27,"00:00:00,433","00:00:00,449",27,16,2023-02-07 15:11:10.913,130,1/800.0,2.8,0,5178,default,24.0,37.55984,126.93685,30.6,-7.338
28,"00:00:00,449","00:00:00,466",28,17,2023-02-07 15:11:10.928,130,1/800.0,2.8,0,5178,default,24.0,37.55984,126.93685,30.6,-7.338
29,"00:00:00,466","00:00:00,483",29,17,2023-02-07 15:11:10.947,130,1/800.0,2.8,0,5178,default,24.0,37.55984,126.93685,30.6,-7.338
30,"00:00:00,483","00:00:00,499",30,16,2023-02-07 15:11:10.961,130,1/800.0,2.8,0,5178,default,24.0,37.55984,126.93685,30.6,-7.338
31,"00:00:00,499","00:00:00,516",31,17,2023-02-07 15:11:10.982,130,1/800.0,2.8,0,5178,default,24.0,37.55984,126.93685,30.6,-7.338
32,"00:00:00,516","00:00:00,533",32,17,2023-02-07 15:11:10.995,130,1/800.0,2.8,0,5178,default,24.0,37.55984,126.93685,30.6,-7.338
33,"00:00:00,533","00:00:00,549",33,16,2023-02-07 15:11:11.014,130,1/800.0,2.8,0,5179,default,24.0,37.55984,126.93685,30.6,-7.338
34,"00:00:00,549","00:00:00,566",34,17,2023-02-07 15:11:11.028,130,1/800.0,2.8,0,5179,default,24.0,37.55984,126.93685,30.6,-7.338
35,"00:00:00,566","00:00:00,583",35,17,2023-02-07 15:11:11.048,130,1/800.0,2.8,0,5179,default,24.0,37.55984,126.93685,30.6,-7.338
36,"00:00:00,583","00:00:00,599",36,16,2023-02-07 15:11:11.062,130,1/800.0,2.8,0,5180,default,24.0,37.55984,126.93685,30.6,-7.338
37,"00:00:00,599","00:00:00,616",37,17,2023-02-07 15:11:11.080,130,1/800.0,2.8,0,5181,default,24.0,37.55984,126.93685,30.6,-7.338
38,"00:00:00,616","00:00:00,633",38,17,2023-02-07 15:11:11.095,130,1/800.0,2.8,0,5181,default,24.0,37.55984,126.93685,30.6,-7.338
39,"00:00:00,633","00:00:00,649",39,16,2023-02-07 15:11:11.114,130,1/800.0,2.8,0,5181,default,24.0,37.55984,126.93685,30.6,-7.338
40,"00:00:00,649","00:00:00,666",40,17,2023-02-07 15:11:11.128,130,1/800.0,2.8,0,5181,default,24.0,37.55984,126.93685,30.6,-7.338
41,"00:00:00,666","00:00:00,683",41,17,2023-02-07 15:11:11.148,130,1/800.0,2.8,0,5181,default,24.0,37.55984,126.93685,30.6,-7.338
42,"00:00:00,683","00:00:00,700",42,17,2023-02-07 15:11:11.161,130,1/800.0,2.8,0,5181,default,24.0,37.55984,126.93685,30.6,-7.338
43,"00:00:00,700","00:00:00,716",43,16,2023-02-07 15:11:11.181,130,1/800.0,2.8,0,5181,default,24.0,37.55984,126.93685,30.6,-7.338
44,"00:00:00,716","00:00:00,733",44,17,2023-02-07 15:11:11.194,140,1/800.0,2.8,0,5181,default,24.0,37.55984,126.93685,30.6,-7.338
45,"00:00:00,733","00:00:00,750",45,17,2023-02-07 15:11:11.213,130,1/800.0,2.8,0,5181,default,24.0,37.55984,126.93685,30.6,-7.338
46,"00:00:00,750","00:00:00,766",46,16,2023-02-07 15:11:11.228,140,1/800.0,2.8,0,5181,default,24.0,37.55984,126.93685,30.6,-7.338
47,"00:00:00,766","00:00:00,783",47,17,2023-02-07 15:11:11.247,140,1/800.0,2.8,0,5181,default,24.0,37.55984,126.93685,30.6,-7.338
48,"00:00:00,783","00:00:00,800",48,17,2023-02-07 15:11:11.262,140,1/800.0,2.8,0,5181,default,24.0,37.55984,126.93685,30.6,-7.338
49,"00:00:00,800","00:00:00,816",49,16,2023-02-07 15:11:11.281,140,1/800.0,2.8,0,5182,default,24.0,37.55984,126.93685,30.6,-7.338
50,"00:00:00,816","00:00:00,833",50,17,2023-02-07 15:11:11.294,140,1/800.0,2.8,0,5183,default,24.0,37.55984,126.93685,30.6,-7.338
51,"00:00:00,833","00:00:00,850",51,17,2023-02-07 15:11:11.314,140,1/800.0,2.8,0,5184,default,24.0,37.55984,126.93685,30.6,-7.338
52,"00:00:00,850","00:00:00,866",52,16,2023-02-07 15:11:11.329,140,1/800.0,2.8,0,5184,default,24.0,37.55984,126.93685,30.6,-7.338
53,"00:00:00,866","00:00:00,883",53,17,2023-02-07 15:11:11.349,140,1/800.0,2.8,0,5184,default,24.0,37.55984,126.93685,30.6,-7.338
54,"00:00:00,883","00:00:00,900",54,17,2023-02-07 15:11:11.362,140,1/800.0,2.8,0,5184,default,24.0,37.55984,126.93685,30.6,-7.338
55,"00:00:00,900","00:00:00,916",55,16,2023-02-07 15:11:11.381,140,1/800.0,2.8,0,5184,default,24.0,37.55984,126.93685,30.6,-7.338
56,"00:00:00,916","00:00:00,933",56,17,2023-02-07 15:11:11.395,140,1/800.0,2.8,0,5184,default,24.0,37.55984,126.93685,30.6,-7.338
57,"00:00:00,933","00:00:00,950",57,17,2023-02-07 15:11:11.414,140,1/800.0,2.8,0,5184,default,24.0,37.55984,126.93685,30.6,-7.338
58,"00:00:00,950","00:00:00,966",58,16,2023-02-07 15:11:11.429,140,1/800.0,2.8,0,5184,default,24.0,37.55984,126.93685,30.6,-7.338
59,"00:00:00,966","00:00:00,983",59,17,2023-02-07 15:11:11.447,140,1/800.0,2.8,0,5184,default,24.0,37.55984,126.93685,30.6,-7.338
60,"00:00:00,983","00:00:01,000",60,17,2023-02-07 15:11:11.461,140,1/800.0,2.8,0,5185,default,24.0,37.55984,126.93685,30.6,-7.338
61,"00:00:01,000","00:00:01,017",61,17,2023-02-07 15:11:11.481,140,1/800.0,2.8,0,5186,default,24.0,37.55984,126.93685,30.6,-7.338
62,"00:00:01,017","00:00:01,033",62,16,2023-02-07 15:11:11.495,140,1/800.0,2.8,0,5186,default,24.0,37.55984,126.93685,30.6,-7.338
63,"00:00:01,033","00:00:01,050",63,17,2023-02-07 15:11:11.514,140,1/800.0,2.8,0,5188,default,24.0,37.55984,126.93685,30.6,-7.338
64,"00:00:01,050","00:00:01,067",64,17,2023-02-07 15:11:11.528,140,1/800.0,2.8,0,5188,default,24.0,37.55984,126.93685,30.6,-7.338
65,"00:00:01,067","00:00:01,083",65,16,2023-02-07 15:11:11.548,140,1/800.0,2.8,0,5188,default,24.0,37.55984,126.93685,30.6,-7.338
66,"00:00:01,083","00:00:01,100",66,17,2023-02-07 15:11:11.562,140,1/800.0,2.8,0,5189,default,24.0,37.55984,126.93685,30.6,-7.338
67,"00:00:01,100","00:00:01,117",67,17,2023-02-07 15:11:11.580,140,1/800.0,2.8,0,5190,default,24.0,37.55984,126.93685,30.6,-7.338
68,"00:00:01,117","00:00:01,133",68,16,2023-02-07 15:11:11.595,140,1/800.0,2.8,0,5190,default,24.0,37.55984,126.93685,30.6,-7.338
69,"00:00:01,133","00:00:01,150",69,17,2023-02-07 15:11:11.614,140,1/800.0,2.8,0,5191,default,24.0,37.55984,126.93685,30.6,-7.338
70,"00:00:01,150","00:00:01,167",70,17,2023-02-07 15:11:11.629,140,1/800.0,2.8,0,5191,default,24.0,37.55984,126.93685,30.6,-7.338
71,"00:00:01,167","00:00:01,183",71,16,2023-02-07 15:11:11.648,140,1/800.0,2.8,0,5191,default,24.0,37.55984,126.93685,30.6,-7.338
72,"00:00:01,183","00:00:01,200",72,17,2023-02-07 15:11:11.662,140,1/800.0,2.8,0,5191,default,24.0,37.55984,126.93685,30.6,-7.338
73,"00:00:01,200","00:00:01,217",73,17,2023-02-07 15:11:11.680,140,1/800.0,2.8,0,5191,default,24.0,37.55984,126.93685,30.6,-7.338
74,"00:00:01,217","00:00:01,233",74,16,2023-02-07 15:11:11.695,140,1/800.0,2.8,0,5191,default,24.0,37.55984,126.93685,30.6,-7.338
75,"00:00:01,233","00:00:01,250",75,17,2023-02-07 15:11:11.714,140,1/800.0,2.8,0,5191,default,24.0,37.55984,126.93685,30.6,-7.338
76,"00:00:01,250","00:00:01,267",76,17,2023-02-07 15:11:11.729,140,1/800.0,2.8,0,5190,default,24.0,37.55984,126.93685,30.6,-7.338
77,"00:00:01,267","00:00:01,283",77,16,2023-02-07 15:11:11.749,140,1/800.0,2.8,0,5190,default,24.0,37.55984,126.93685,30.6,-7.338
78,"00:00:01,283","00:00:01,300",78,17,2023-02-07 15:11:11.762,140,1/800.0,2.8,0,5190,default,24.0,37.55984,126.93685,30.6,-7.338
79,"00:00:01,300","00:00:01,317",79,17,2023-02-07 15:11:11.780,140,1/800.0,2.8,0,5189,default,24.0,37.55984,126.93685,30.6,-7.338
80,"00:00:01,317","00:00:01,333",80,16,2023-02-07 15:11:11.795,140,1/800.0,2.8,0,5189,default,24.0,37.55984,126.93685,30.6,-7.338
81,"00:00:01,333","00:00:01,350",81,17,2023-02-07 15:11:11.814,140,1/800.0,2.8,0,5190,default,24.0,37.55984,126.93685,30.6,-7.338
82,"00:00:01,350","00:00:01,367",82,17,2023-02-07 15:11:11.829,140,1/800.0,2.8,0,5191,default,24.0,37.55984,126.93685,30.6,-7.338
83,"00:00:01,367","00:00:01,384",83,17,2023-02-07 15:11:11.847,140,1/800.0,2.8,0,5191,default,24.0,37.55984,126.93685,30.6,-7.338
84,"00:00:01,384","00:00:01,400",84,16,2023-02-07 15:11:11.862,140,1/800.0,2.8,0,5192,default,24.0,37.55984,126.93685,30.6,-7.338
85,"00:00:01,400","00:00:01,417",85,17,2023-02-07 15:11:11.880,140,1/800.0,2.8,0,5191,default,24.0,37.55984,126.93685,30.6,-7.338
86,"00:00:01,417","00:00:01,434",86,17,2023-02-07 15:11:11.895,140,1/800.0,2.8,0,5191,default,24.0,37.55984,126.93685,30.6,-7.338
87,"00:00:01,434","00:00:01,450",87,16,2023-02-07 15:11:11.914,140,1/800.0,2.8,0,5191,default,24.0,37.55984,126.93685,30.6,-7.338
88,"00:00:01,450","00:00:01,467",88,17,2023-02-07 15:11:11.930,140,1/800.0,2.8,0,5191,default,24.0,37.55984,126.93685,30.6,-7.338
89,"00:00:01,467","00:00:01,484",89,17,2023-02-07 15:11:11.948,140,1/800.0,2.8,0,5191,default,24.0,37.55984,126.93685,30.6,-7.338
90,"00:00:01,484","00:00:01,500",90,16,2023-02-07 15:11:11.962,140,1/800.0,2.8,0,5191,default,24.0,37.55984,126.93685,30.6,-7.338
91,"00:00:01,500","00:00:01,517",91,17,2023-02-07 15:11:11.981,140,1/800.0,2.8,0,5191,default,24.0,37.55984,126.93685,30.6,-7.338
92,"00:00:01,517","00:00:01,534",92,17,2023-02-07 15:11:11.996,140,1/800.0,2.8,0,5191,default,24.0,37.55984,126.93685,30.6,-7.338
93,"00:00:01,534","00:00:01,550",93,16,2023-02-07 15:11:12.014,140,1/800.0,2.8,0,5191,default,24.0,37.55984,126.93685,30.6,-7.338
94,"00:00:01,550","00:00:01,567",94,17,2023-02-07 15:11:12.029,140,1/800.0,2.8,0,5191,default,24.0,37.55984,126.93685,30.6,-7.338
95,"00:00:01,567","00:00:01,584",95,17,2023-02-07 15:11:12.048,140,1/800.0,2.8,0,5191,default,24.0,37.55984,126.93685,30.6,-7.338
96,"00:00:01,584","00:00:01,600",96,16,2023-02-07 15:11:12.062,140,1/800.0,2.8,0,5191,default,24.0,37.55984,126.93685,30.6,-7.338
97,"00:00:01,600","00:00:01,617",97,17,2023-02-07 15:11:12.081,140,1/800.0,2.8,0,5191,default,24.0,37.55984,126.93685,30.6,-7.338
98,"00:00:01,617","00:00:01,634",98,17,2023-02-07 15:11:12.095,140,1/800.0,2.8,0,5191,default,24.0,37.55984,126.93685,30.6,-7.338
99,"00:00:01,634","00:00:01,650",99,16,2023-02-07 15:11:12.115,140,1/800.0,2.8,0,5191,default,24.0,37.55984,126.93685,30.6,-7.338
100,"00:00:01,650","00:00:01,667",100,17,2023-02-07 15:11:12.130,140,1/800.0,2.8,0,5191,default,24.0,37.55984,126.93685,30.6,-7.338
101,"00:00:01,667","00:00:01,684",101,17,2023-02-07 15:11:12.148,140,1/800.0,2.8,0,5191,default,24.0,37.55984,126.93685,30.6,-7.338
102,"00:00:01,684","00:00:01,701",102,17,2023-02-07 15:11:12.163,140,1/800.0,2.8,0,5191,default,24.0,37.55984,126.93685,30.6,-7.338
103,"00:00:01,701","00:00:01,717",103,16,2023-02-07 15:11:12.182,140,1/800.0,2.8,0,5191,default,24.0,37.55984,126.93685,30.6,-7.338
104,"00:00:01,717","00:00:01,734",104,17,2023-02-07 15:11:12.196,140,1/800.0,2.8,0,5191,default,24.0,37.55984,126.93685,30.6,-7.338
105,"00:00:01,734","00:00:01,751",105,17,2023-02-07 15:11:12.215,140,1/800.0,2.8,0,5191,default,24.0,37.55984,126.93685,30.6,-7.338
106,"00:00:01,751","00:00:01,767",106,16,2023-02-07 15:11:12.229,140,1/800.0,2.8,0,5191,default,24.0,37.55984,126.93685,30.6,-7.338
107,"00:00:01,767","00:00:01,784",107,17,2023-02-07 15:11:12.247,140,1/800.0,2.8,0,5191,default,24.0,37.55984,126.93685,30.6,-7.338
108,"00:00:01,784","00:00:01,801",108,17,2023-02-07 15:11:12.262,140,1/800.0,2.8,0,5191,default,24.0,37.55984,126.93685,30.6,-7.338
109,"00:00:01,801","00:00:01,817",109,16,2023-02-07 15:11:12.281,140,1/800.0,2.8,0,5191,default,24.0,37.55984,126.93685,30.6,-7.338
110,"00:00:01,817","00:00:01,834",110,17,2023-02-07 15:11:12.295,140,1/800.0,2.8,0,5191,default,24.0,37.55984,126.93685,30.6,-7.338
111,"00:00:01,834","00:00:01,851",111,17,2023-02-07 15:11:12.315,140,1/800.0,2.8,0,5191,default,24.0,37.55984,126.93685,30.6,-7.338
112,"00:00:01,851","00:00:01,867",112,16,2023-02-07 15:11:12.329,140,1/800.0,2.8,0,5191,default,24.0,37.55984,126.93685,30.6,-7.338
113,"00:00:01,867","00:00:01,884",113,17,2023-02-07 15:11:12.348,140,1/800.0,2.8,0,5191,default,24.0,37.55984,126.93685,30.6,-7.338
114,"00:00:01,884","00:00:01,901",114,17,2023-02-07 15:11:12.362,140,1/800.0,2.8,0,5191,default,24.0,37.55984,126.93685,30.6,-7.338
115,"00:00:01,901","00:00:01,917",115,16,2023-02-07 15:11:12.381,140,1/800.0,2.8,0,5191,default,24.0,37.55984,126.93685,30.6,-7.338
116,"00:00:01,917","00:00:01,934",116,17,2023-02-07 15:11:12.396,140,1/800.0,2.8,0,5191,default,24.0,37.55984,126.93685,30.6,-7.338
117,"00:00:01,934","00:00:01,951",117,17,2023-02-07 15:11:12.415,140,1/800.0,2.8,0,5191,default,24.0,37.55984,126.93685,30.6,-7.338
118,"00:00:01,951","00:00:01,967",118,16,2023-02-07 15:11:12.429,140,1/800.0,2.8,0,5191,default,24.0,37.55984,126.93685,30.6,-7.338
119,"00:00:01,967","00:00:01,984",119,17,2023-02-07 15:11:12.449,140,1/800.0,2.8,0,5191,default,24.0,37.55984,126.93685,30.6,-7.338
120,"00:00:01,984","00:00:02,001",120,17,2023-02-07 15:11:12.462,140,1/800.0,2.8,0,5191,default,24.0,37.55984,126.93685,30.6,-7.338
121,"00:00:02,001","00:00:02,018",121,17,2023-02-07 15:11:12.481,140,1/800.0,2.8,0,5191,default,24.0,37.55984,126.93685,30.6,-7.338
122,"00:00:02,018","00:00:02,034",122,16,2023-02-07 15:11:12.496,140,1/800.0,2.8,0,5191,default,24.0,37.55984,126.93685,30.6,-7.338
123,"00:00:02,034","00:00:02,051",123,17,2023-02-07 15:11:12.515,140,1/800.0,2.8,0,5191,default,24.0,37.55984,126.93685,30.6,-7.338
124,"00:00:02,051","00:00:02,068",124,17,2023-02-07 15:11:12.529,140,1/800.0,2.8,0,5191,default,24.0,37.55984,126.93685,30.6,-7.338
125,"00:00:02,068","00:00:02,084",125,16,2023-02-07 15:11:12.548,140,1/800.0,2.8,0,5191,default,24.0,37.55984,126.93685,30.6,-7.338
126,"00:00:02,084","00:00:02,101",126,17,2023-02-07 15:11:12.562,140,1/800.0,2.8,0,5191,default,24.0,37.55984,126.93685,30.6,-7.338
127,"00:00:02,101","00:00:02,118",127,17,2023-02-07 15:11:12.581,140,1/800.0,2.8,0,5191,default,24.0,37.55984,126.93685,30.6,-7.338
128,"00:00:02,118","00:00:02,134",128,16,2023-02-07 15:11:12.596,140,1/800.0,2.8,0,5191,default,24.0,37.55984,126.93685,30.6,-7.338
129,"00:00:02,134","00:00:02,151",129,17,2023-02-07 15:11:12.615,140,1/800.0,2.8,0,5191,default,24.0,37.55984,126.93685,30.6,-7.338
130,"00:00:02,151","00:00:02,168",130,17,2023-02-07 15:11:12.630,140,1/800.0,2.8,0,5191,default,24.0,37.55984,126.93685,30.6,-7.338
131,"00:00:02,168","00:00:02,184",131,16,2023-02-07 15:11:12.648,140,1/800.0,2.8,0,5192,default,24.0,37.55984,126.93685,30.6,-7.338
132,"00:00:02,184","00:00:02,201",132,17,2023-02-07 15:11:12.662,140,1/800.0,2.8,0,5192,default,24.0,37.55984,126.93685,30.6,-7.338
133,"00:00:02,201","00:00:02,218",133,17,2023-02-07 15:11:12.682,140,1/800.0,2.8,0,5192,default,24.0,37.55984,126.93685,30.6,-7.338
134,"00:00:02,218","00:00:02,234",134,16,2023-02-07 15:11:12.696,140,1/800.0,2.8,0,5192,default,24.0,37.55984,126.93685,30.6,-7.338
135,"00:00:02,234","00:00:02,251",135,17,2023-02-07 15:11:12.715,140,1/800.0,2.8,0,5192,default,24.0,37.55984,126.93685,30.6,-7.338
136,"00:00:02,251","00:00:02,268",136,17,2023-02-07 15:11:12.730,140,1/800.0,2.8,0,5192,default,24.0,37.55984,126.93685,30.6,-7.338
137,"00:00:02,268","00:00:02,284",137,16,2023-02-07 15:11:12.748,140,1/800.0,2.8,0,5192,default,24.0,37.55984,126.93685,30.6,-7.338
138,"00:00:02,284","00:00:02,301",138,17,2023-02-07 15:11:12.763,140,1/800.0,2.8,0,5192,default,24.0,37.55984,126.93685,30.6,-7.338
139,"00:00:02,301","00:00:02,318",139,17,2023-02-07 15:11:12.782,140,1/800.0,2.8,0,5192,default,24.0,37.55984,126.93685,30.6,-7.338
140,"00:00:02,318","00:00:02,334",140,16,2023-02-07 15:11:12.796,140,1/800.0,2.8,0,5192,default,24.0,37.55984,126.93685,30.6,-7.338
141,"00:00:02,334","00:00:02,351",141,17,2023-02-07 15:11:12.815,140,1/800.0,2.8,0,5192,default,24.0,37.55984,126.93685,30.6,-7.338
142,"00:00:02,351","00:00:02,368",142,17,2023-02-07 15:11:12.830,140,1/800.0,2.8,0,5192,default,24.0,37.55984,126.93685,30.6,-7.338
143,"00:00:02,368","00:00:02,385",143,17,2023-02-07 15:11:12.848,140,1/800.0,2.8,0,5192,default,24.0,37.55984,126.93685,30.6,-7.338
144,"00:00:02,385","00:00:02,401",144,16,2023-02-07 15:11:12.863,140,1/800.0,2.8,0,5192,default,24.0,37.55984,126.93685,30.6,-7.338
145,"00:00:02,401","00:00:02,418",145,17,2023-02-07 15:11:12.882,140,1/800.0,2.8,0,5192,default,24.0,37.55984,126.93685,30.6,-7.338
146,"00:00:02,418","00:00:02,435",146,17,2023-02-07 15:11:12.896,140,1/800.0,2.8,0,5192,default,24.0,37.55984,126.93685,30.6,-7.338
147,"00:00:02,435","00:00:02,451",147,16,2023-02-07 15:11:12.915,140,1/800.0,2.8,0,5192,default,24.0,37.55984,126.93685,30.6,-7.338
148,"00:00:02,451","00:00:02,468",148,17,2023-02-07 15:11:12.929,140,1/800.0,2.8,0,5192,default,24.0,37.55984,126.93685,30.6,-7.338
149,"00:00:02,468","00:00:02,485",149,17,2023-02-07 15:11:12.949,140,1/800.0,2.8,0,5192,default,24.0,37.55984,126.93685,30.6,-7.338
150,"00:00:02,485","00:00:02,501",150,16,2023-02-07 15:11:12.963,140,1/800.0,2.8,0,5192,default,24.0,37.55984,126.93685,30.6,-7.338
151,"00:00:02,501","00:00:02,518",151,17,2023-02-07 15:11:12.982,140,1/800.0,2.8,0,5192,default,24.0,37.55984,126.93685,30.6,-7.338
152,"00:00:02,518","00:00:02,535",152,17,2023-02-07 15:11:12.996,140,1/800.0,2.8,0,5192,default,24.0,37.55984,126.93685,30.6,-7.338
153,"00:00:02,535","00:00:02,551",153,16,2023-02-07 15:11:13.016,140,1/800.0,2.8,0,5192,default,24.0,37.55984,126.93685,30.6,-7.338
154,"00:00:02,551","00:00:02,568",154,17,2023-02-07 15:11:13.031,140,1/800.0,2.8,0,5192,default,24.0,37.55984,126.93685,30.6,-7.338
155,"00:00:02,568","00:00:02,585",155,17,2023-02-07 15:11:13.049,140,1/800.0,2.8,0,5192,default,24.0,37.55984,126.93685,30.6,-7.338
156,"00:00:02,585","00:00:02,601",156,16,2023-02-07 15:11:13.063,140,1/800.0,2.8,0,5192,default,24.0,37.55984,126.93685,30.6,-7.338
157,"00:00:02,601","00:00:02,618",157,17,2023-02-07 15:11:13.082,140,1/800.0,2.8,0,5192,default,24.0,37.55984,126.93685,30.6,-7.338
158,"00:00:02,618","00:00:02,635",158,17,2023-02-07 15:11:13.096,140,1/800.0,2.8,0,5192,default,24.0,37.55984,126.93685,30.6,-7.338
159,"00:00:02,635","00:00:02,651",159,16,2023-02-07 15:11:13.115,140,1/800.0,2.8,0,5191,default,24.0,37.55984,126.93685,30.6,-7.338
160,"00:00:02,651","00:00:02,668",160,17,2023-02-07 15:11:13.130,140,1/800.0,2.8,0,5191,default,24.0,37.55984,126.93685,30.6,-7.338
161,"00:00:02,668","00:00:02,685",161,17,2023-02-07 15:11:13.148,140,1/800.0,2.8,0,5191,default,24.0,37.55984,126.93685,30.6,-7.338
162,"00:00:02,685","00:00:02,702",162,17,2023-02-07 15:11:13.164,140,1/800.0,2.8,0,5191,default,24.0,37.55984,126.93685,30.6,-7.338
163,"00:00:02,702","00:00:02,718",163,16,2023-02-07 15:11:13.182,140,1/800.0,2.8,0,5191,default,24.0,37.55984,126.93685,30.6,-7.338
164,"00:00:02,718","00:00:02,735",164,17,2023-02-07 15:11:13.197,140,1/800.0,2.8,0,5191,default,24.0,37.55984,126.93685,30.6,-7.338
165,"00:00:02,735","00:00:02,752",165,17,2023-02-07 15:11:13.216,140,1/800.0,2.8,0,5191,default,24.0,37.55984,126.93685,30.6,-7.338
166,"00:00:02,752","00:00:02,768",166,16,2023-02-07 15:11:13.231,140,1/800.0,2.8,0,5191,default,24.0,37.55984,126.93685,30.6,-7.338
167,"00:00:02,768","00:00:02,785",167,17,2023-02-07 15:11:13.249,140,1/800.0,2.8,0,5191,default,24.0,37.55984,126.93685,30.6,-7.338
168,"00:00:02,785","00:00:02,802",168,17,2023-02-07 15:11:13.263,140,1/800.0,2.8,0,5191,default,24.0,37.55984,126.93685,30.6,-7.338
169,"00:00:02,802","00:00:02,818",169,16,2023-02-07 15:11:13.282,140,1/800.0,2.8,0,5191,default,24.0,37.55984,126.93685,30.6,-7.338
170,"00:00:02,818","00:00:02,835",170,17,2023-02-07 15:11:13.296,140,1/800.0,2.8,0,5191,default,24.0,37.55984,126.93685,30.6,-7.338
171,"00:00:02,835","00:00:02,852",171,17,2023-02-07 15:11:13.315,140,1/800.0,2.8,0,5191,default,24.0,37.55984,126.93685,30.6,-7.338
172,"00:00:02,852","00:00:02,868",172,16,2023-02-07 15:11:13.330,140,1/800.0,2.8,0,5191,default,24.0,37.55984,126.93685,30.6,-7.338
173,"00:00:02,868","00:00:02,885",173,17,2023-02-07 15:11:13.349,140,1/800.0,2.8,0,5191,default,24.0,37.55984,126.93685,30.6,-7.338
