Index,StartTime,EndTime,FrameCnt,DiffTime,DateTime,iso,shutter,fnum,ev,ct,color_md,focal_len,latitude,longitude,rel_alt,abs_alt
1,"00:00:00,000","00:00:00,016",1,16,2023-02-07 15:11:10.481,130,1/640.0,2.8,0,5177,default,24.0,37.55984,126.93685,30.6,-7.338
2,"00:00:00,016","00:00:00,032",2,16,2023-02-07 15:11:10.494,130,1/640.0,2.8,0,5177,default,24.0,37.55984,126.93685,30.6,-7.338
3,"00:00:00,032","00:00:00,049",3,17,2023-02-07 15:11:10.514,130,1/640.0,2.8,0,5177,default,24.0,37.55984,126.93685,30.6,-7.338
4,"00:00:00,049","00:00:00,066",4,17,2023-02-07 15:11:10.528,130,1/640.0,2.8,0,5177,default,24.0,37.55984,126.93685,30.6,-7.338
5,"00:00:00,066","00:00:00,082",5,16,2023-02-07 15:11:10.546,130,1/640.0,2.8,0,5177,default,24.0,37.55984,126.93685,30.6,-7.338
6,"00:00:00,082","00:00:00,099",6,17,2023-02-07 15:11:10.561,130,1/640.0,2.8,0,5177,default,24.0,37.55984,126.93685,30.6,-7.338
7,"00:00:00,099","00:00:00,116",7,17,2023-02-07 15:11:10.580,130,1/640.0,2.8,0,5177,default,24.0,37.55984,126.93685,30.6,-7.338
8,"00:00:00,116","00:00:00,132",8,16,2023-02-07 15:11:10.594,130,1/640.0,2.8,0,5177,default,24.0,37.55984,126.93685,30.6,-7.338
9,"00:00:00,132","00:00:00,149",9,17,2023-02-07 15:11:10.613,130,1/640.0,2.8,0,5178,default,24.0,37.55984,126.93685,30.6,-7.338
10,"00:00:00,149","00:00:00,166",10,17,2023-02-07 15:11:10.628,130,1/640.0,2.8,0,5178,default,24.0,37.55984,126.93685,30.6,-7.338
11,"00:00:00,166","00:00:00,182",11,16,2023-02-07 15:11:10.646,130,1/640.0,2.8,0,5178,default,24.0,37.55984,126.93685,30.6,-7.338
12,"00:00:00,182","00:00:00,199",12,17,2023-02-07 15:11:10.661,130,1/640.0,2.8,0,5178,default,24.0,37.55984,126.93685,30.6,-7.338
13,"00:00:00,199","00:00:00,216",13,17,2023-02-07 15:11:10.680,130,1/640.0,2.8,0,5178,default,24.0,37.55984,126.93685,30.6,-7.338
14,"00:00:00,216","00:00:00,232",14,16,2023-02-07 15:11:10.695,130,1/640.0,2.8,0,5178,default,24.0,37.55984,126.93685,30.6,-7.338
15,"00:00:00,232","00:00:00,249",15,17,2023-02-07 15:11:10.713,130,1/640.0,2.8,0,5178,default,24.0,37.55984,126.93685,30.6,-7.338
